entity,inquiry_ref,sector,cross_border,origin,regime,trigger_date,trigger_type,commencement_date,commencement_precision,decision_date,duration_days,duration_years,fine_eur,art65,slug,note
A Consultancy Provider (processor),IN-20-4-8,private,0,own-volition (breach),GDPR,,,2020-04-15,month,2022-01-24,649,1.78,0,0,inquiry-consultancy-provider,Companion inquiry to PIAB; commencement month from DPC ref convention
Slane Credit Union,IN-19-7-5,private,0,own-volition (breach),GDPR,2018-11-30,breach notified,2019-07-19,day,2022-01-26,922,2.52,5000,0,inquiry-slane-credit-union,Inquiry Commencement Notice 19 Jul 2019 per decision
Bank of Ireland Group (CCR breaches),IN-19-9-5,private,0,own-volition (breach),GDPR,2018-11-09,first of 22 breaches notified,2019-09-15,month,2022-03-14,911,2.49,463000,0,inquiry-bank-ireland-group-plc,Commencement month from DPC ref convention (IN-19-9)
Meta/Facebook (12 breaches 2018),IN-18-11-5,big tech,1,own-volition (breach),GDPR,2018-06-07,first of 12 breaches notified,2018-12-11,day,2022-03-15,1190,3.26,17000000,0,inquiry-concerning-12-facebook-personal-data-breaches,"Commencement Notice 11 Dec 2018 per decision; Art 60 compromise, no Art 65"
Twitter International (erasure complaint),,big tech,1,complaint,GDPR,2019-07-02,complaint lodged with DPC,2021-04-08,day,2022-04-27,384,1.05,0,0,decision-concerning-twitter-international-company,"Inquiry commenced 8 Apr 2021 per decision, 21 months after complaint"
Pre-Hospital Emergency Care Council (DPO),IN-22-2-1,public,0,own-volition,GDPR,,,2022-02-11,day,2022-05-03,81,0.22,0,0,inquiry-pre-hospital-emergency-care-council,Commencement letter 11 Feb 2022 per decision; fastest inquiry in set
Allianz plc (49 breaches),IN-21-2-1,private,0,own-volition (breach),GDPR,,,2021-02-23,day,2022-06-28,490,1.34,0,0,inquiry-allianz-plc,Commencement letter 23 Feb 2021 per decision
Meta/Instagram (child users),IN-20-7-4,big tech,1,own-volition,GDPR,,,2020-09-21,day,2022-09-02,711,1.95,405000000,1,inquiry-concerning-processing-personal-data-relating-child-users-instagram-social-networking-service,Commenced 21 Sep 2020 per decision; EDPB Art 65 binding decision
Airbnb Ireland (complaint 1),,big tech,1,complaint,GDPR,,,2021-03-25,day,2022-09-14,538,1.47,0,0,inquiry-airbnb-ireland-uc-september-2022,Commenced 25 Mar 2021 per DPC summary
Ark Life Assurance (156 breaches),IN-21-6-1,private,0,own-volition (breach),GDPR,,,2021-06-08,day,2022-09-26,475,1.3,0,0,inquiry-ark-life-assurance-company-dac,Commencement letter 8 Jun 2021 per decision
Meta/Facebook (data scraping),IN-21-4-2,big tech,1,own-volition,GDPR,,,2021-04-14,day,2022-11-25,590,1.62,265000000,0,inquiry-concerning-meta-dataset-november-2022,Commenced 14 Apr 2021 per decision after media reports of 533m-user scraped dataset
An Garda Siochana (disclosure requests),IN-20-1-3,public,0,own-volition (breach),LED,,,2020-01-15,month,2022-12-15,1065,2.92,0,0,inquiry-garda-siochana-december-2022,Commencement month from DPC ref convention (IN-20-1); LED/DPA Part 5
Virtue Integrated Elder Care,IN-21-2-5,private,0,own-volition (breach),GDPR,2020-08-19,breach notified,2021-02-15,month,2022-12-20,673,1.84,100000,0,inquiry-virtue-integrated-elder-care-ltd-viec-december-2022,Commencement month from DPC ref convention (IN-21-2)
Fastway Couriers (A&G Couriers),IN-21-6-2,private,0,own-volition (breach),GDPR,2021-03-04,breach notified,2021-06-15,month,2022-12-30,563,1.54,15000,0,inquiry-ag-couriers-limited-ta-fastway-couriers-ireland-december-2022,Commencement month from DPC ref convention (IN-21-6)
Meta/Facebook (legal basis for ads),IN-18-5-5,big tech,1,complaint,GDPR,2018-05-25,noyb complaint (GDPR day one),2018-08-20,day,2022-12-31,1594,4.36,210000000,1,inquiry-meta-platforms-ireland-limited-december-2022#1,Inquiry commenced 20 Aug 2018 per decision; EDPB Art 65 binding decision
Meta/Instagram (legal basis for ads),IN-18-5-7,big tech,1,complaint,GDPR,2018-05-25,noyb complaint (GDPR day one),2018-08-20,month,2022-12-31,1594,4.36,180000000,1,inquiry-meta-platforms-ireland-limited-december-2022#2,Companion inquiry opened in same Aug 2018 batch; EDPB Art 65 binding decision
WhatsApp Ireland (legal basis),IN-18-5-6,big tech,1,complaint,GDPR,2018-05-25,noyb complaint (GDPR day one),2018-08-20,day,2023-01-12,1606,4.4,5500000,1,inquiry-whatsapp-ireland-ltd-january-2023,Commenced 20 Aug 2018 per decision; EDPB Art 65 binding decision
Kildare County Council (CCTV),05-SIU-2018,public,0,own-volition,LED,,,2018-06-25,month,2023-01-16,1666,4.56,50000,0,inquiry-kildare-county-council-january-2023,SIU surveillance program June 2018
Centric Health (ransomware),IN-21-2-4,private,0,own-volition (breach),GDPR,2019-12-05,breach notified,2021-03-01,day,2023-02-23,724,1.98,460000,0,inquiry-centric-health-ltd-centric-february-2023,Commencement letter 1 Mar 2021 per decision; fines 275k+50k+135k
Bank of Ireland 365,IN-20-7-2,private,0,own-volition (breach),GDPR,,,2020-07-15,month,2023-02-27,957,2.62,750000,0,inquiry-bank-ireland-365-boi-february-2023,Commencement month from DPC ref convention (IN-20-7)
Archbishop of Dublin (church records),IN-19-7-6,nonprofit,0,complaint,GDPR,,,2019-12-20,day,2023-02-27,1165,3.19,0,0,inquiry-processing-church-records-archbishop-dublin,Commencement letter 20 Dec 2019 per decision
Meta/Facebook (EU-US transfers),IN-20-8-1,big tech,1,own-volition,GDPR,2013-06-25,original Schrems complaint,2020-08-28,day,2023-05-12,987,2.7,1200000000,1,inquiry-concerning-data-transfers-eueea-us-meta-platforms-ireland-limited-its-facebook-service,Commenced 28 Aug 2020 per decision after Schrems II; court-stayed Sep 2020 to May 2021; EDPB Art 65; largest GDPR fine to date
Department of Health (litigation files),IN-21-3-2,public,0,own-volition,GDPR,,,2021-03-29,day,2023-06-16,809,2.21,22500,0,inquiry-concerning-department-health,Commencement letter 29 Mar 2021 per decision
Airbnb Ireland (complaint 2),,big tech,1,complaint,GDPR,,,2022-03-04,day,2023-06-21,474,1.3,0,0,inquiry-concerning-airbnb-ireland-uc-june-2023,Commenced 4 Mar 2022 per DPC summary
Airbnb Ireland (complaint 3),,big tech,1,complaint,GDPR,,,2022-12-22,day,2023-07-20,210,0.57,0,0,inquiry-airbnb-ireland-uc-july-2023,Commenced 22 Dec 2022 per DPC summary
Galway County Council (CCTV),04-SIU-2018,public,0,own-volition,LED,,,2018-06-25,month,2023-08-22,1884,5.16,0,0,inquiry-galway-county-council,SIU surveillance program June 2018
TikTok (child users),IN-21-9-1,big tech,1,own-volition,GDPR,,,2021-09-14,day,2023-09-01,717,1.96,345000000,1,inquiry-tiktok-technology-limited-september-2023,Notice of Commencement 14 Sep 2021 per decision; EDPB Art 65 binding decision
Airbnb Ireland (complaint 4),,big tech,1,complaint,GDPR,,,2022-10-07,day,2023-09-14,342,0.94,0,0,inquiry-airbnb-ireland-uc-september-2023,Commenced 7 Oct 2022 per DPC summary
Airbnb Ireland (complaint 5),,big tech,1,complaint,GDPR,,,2022-09-07,day,2023-09-28,386,1.06,0,0,inquiry-airbnb-ireland-uc-28-september-2023,Commenced 7 Sep 2022 per DPC summary
Airbnb Ireland (complaint 6),,big tech,1,complaint,GDPR,,,2022-09-22,day,2023-09-28,371,1.02,0,0,inquiry-airbnb-ireland-uc-28-september-2023-2,Commenced 22 Sep 2022 per DPC summary
Microsoft Ireland (erasure complaint),,big tech,1,complaint,GDPR,,,2023-06-29,day,2023-11-15,139,0.38,0,0,inquiry-microsoft-ireland-operations-limited-november-2023,Commenced 29 Jun 2023 per DPC summary
Airbnb Ireland (complaint 7),,big tech,1,complaint,GDPR,,,2022-12-08,day,2024-01-31,419,1.15,0,0,inquiry-airbnb-ireland-uc-january-2024,Commenced 8 Dec 2022 per DPC summary
Apple Distribution (erasure complaint),,big tech,1,complaint,GDPR,,,2022-11-02,day,2024-03-07,491,1.34,0,0,inquiry-apple-distribution-international-limited,Notice of Commencement 2 Nov 2022 per decision
Groupon Ireland (access/erasure complaint),,private,1,complaint,GDPR,,,2019-02-01,day,2024-03-08,1862,5.1,0,0,groupon-ireland-operations-limited-march-2024,DPC formally commenced investigation 1 Feb 2019 per decision
Mediahuis Ireland (journalism complaint),IN-21-2-6,private,0,complaint,GDPR,,,2021-02-15,month,2024-06-07,1208,3.31,0,0,inquiry-concerning-mediahuis-ireland-group-limited,Commencement month from DPC ref convention (IN-21-2); complaint dismissed (journalism exemption)
Meta/Facebook (plaintext passwords),IN-19-4-1,big tech,1,own-volition (breach),GDPR,2019-03-21,issue reported to DPC,2019-04-24,day,2024-09-26,1982,5.43,91000000,0,inquiry-meta-platforms-ireland-limited-september-2024,Commenced 24 Apr 2019 per decision
LinkedIn Ireland (legal basis for ads),IN-18-8-3,big tech,1,complaint,GDPR,2018-05-28,La Quadrature du Net complaint (filed 28 May 2018 per decision para 35),2018-08-20,day,2024-10-22,2255,6.17,310000000,0,inquiry-linkedin-ireland-unlimited-company-october-2024,Commenced 20 Aug 2018 per decision
Sligo County Council (CCTV),07-SIU-2018,public,0,own-volition,LED,,,2018-06-25,month,2024-11-13,2333,6.39,29500,0,inquiry-sligo-county-council,SIU surveillance program June 2018
Maynooth University,IN-19-9-3,public,0,own-volition (breach),GDPR,,,2019-11-07,day,2024-11-22,1842,5.04,40000,0,inquiry-maynooth-university,Commencement letter 7 Nov 2019 per decision; fines 25k+15k
"Meta/Facebook (token breach, notification)",IN-18-10-1,big tech,1,own-volition (breach),GDPR,2018-09-28,breach notified,2018-10-03,day,2024-12-12,2262,6.19,11000000,0,inquiries-meta-platforms-ireland-limited-token-breach#1,DPC announced statutory inquiry 3 Oct 2018 (press statement); fines 8m+3m under Art 33
"Meta/Facebook (token breach, Art 25)",IN-18-11-1,big tech,1,own-volition (breach),GDPR,2018-09-28,breach notified,2018-11-15,month,2024-12-12,2219,6.08,240000000,0,inquiries-meta-platforms-ireland-limited-token-breach#2,Second token-breach inquiry; commencement month from DPC ref convention (IN-18-11); fines 130m+110m under Art 25
TikTok (transfers to China),IN-21-9-2,big tech,1,own-volition,GDPR,,,2021-09-14,day,2025-04-30,1324,3.62,530000000,0,inquiry-tiktok-technology-limited,Commenced 14 Sep 2021 per decision; fines 485m+45m; transfer suspension order
Dept of Social Protection (facial matching),IN-21-7-3,public,0,own-volition,GDPR,,,2021-07-20,day,2025-06-09,1420,3.89,550000,0,inquiry-concerning-department-social-protection,Notice of Commencement 20 Jul 2021 per decision
City of Dublin ETB (SUSI breach),IN-19-7-3,public,0,own-volition (breach),GDPR,,,2019-07-19,month,2025-06-23,2166,5.93,125000,0,inquiry-city-dublin-education-and-training-board-cdetb,"DPC summary: commenced July 2019 (same notice batch as UCD/ICB/Slane, 19 Jul 2019); fines 50k+15k+10k+50k"
Microsoft Ireland (access complaint),,big tech,1,complaint,GDPR,,,2023-05-16,day,2025-09-01,839,2.3,0,0,inquiry-microsoft-ireland-operations-limited-september-2025,Commenced 16 May 2023 per DPC summary
University of Limerick,IN-19-7-1,public,0,own-volition (breach),GDPR,2018-11-30,first of 12 breaches notified,2019-07-19,month,2025-12-10,2336,6.4,98000,0,inquiry-concerning-university-limerick,Ref IN-19-7-1; July 2019 breach-sweep batch (UCD/ICB/Slane notices dated 19 Jul 2019); fines total 98k per DPC
Permanent TSB,IN-22-7-3,private,0,own-volition (breach),GDPR,2022-05-26,breaches notified,2022-08-24,day,2026-04-30,1345,3.68,277500,0,inquiry-permanent-TSB-april-2026,Notice of Commencement 24 Aug 2022 per decision; fines 250k+27.5k
HSE Midlands Regional Hospital Tullamore,IN-19-9-4,public,0,own-volition (breach),GDPR,2018-11-16,breach notified (ransomware),2019-10-08,day,2026-06-10,2437,6.67,300000,0,inquiry-midlands-regional-hospital-tullamore,Commencement Letter 8 Oct 2019 per decision
